Delta_1,Delta_2,m1,m2,e_vumps,dqpt,times
-0.3,0.9,0.9,0.1,-0.208760361208,0,[]
0.3,-0.9,0.9,0.1,-0.262540072352,1,"[4.55,5.89,7.66,8.36,8.59,8.75,8.82]"
0.3,0.9,0.9,0.1,-0.195054713827,0,[]
-0.3,0.9,0.0,0.1,-0.16733383278,1,[4.48]
-0.3,-0.9,1.1,0.1,-0.273618267351,1,"[4.57,5.79,7.67,8.34,8.52,8.68]"
-0.3,0.9,1.1,0.1,-0.198647219423,0,[]
0.3,-0.9,1.1,0.1,-0.236409110182,1,"[4.7,6.05,7.73,8.20,8.76,8.87,8.99,9.04]"
0.3,0.9,1.1,0.1,-0.183795346314,0,[]
-0.3,-0.9,1.2,0.1,-0.25920402719,1,"[4.57,5.90,8.33,8.62,8.75,8.85]"
-0.3,0.9,1.2,0.1,-0.193251227334,0,[]
0.3,-0.9,1.2,0.1,-0.225288066954,1,"[4.86,6.10,7.81,8.14,8.80,8.81,9.02,9.09]"
0.3,0.9,1.2,0.1,-0.178464883601,0,[]
-0.3,-0.9,1.3,0.1,-0.24614833036,1,"[4.63,5.99,7.71,8.29,8.57,8.79,8.96]"
-0.3,0.9,1.3,0.1,-0.187856926847,0,[]
0.3,-0.9,1.3,0.1,-0.215260237323,1,"[5.02,6.14,8.83,8.93,9.05,9.15]"
0.3,0.9,1.3,0.1,-0.173383990309,0,[]
-0.3,-0.9,1.4,0.1,-0.234330385397,1,"[4.75,6.05,7.79,8.17,8.73,8.78,8.84,9.01]"
-0.3,0.9,1.4,0.1,-0.182567406153,0,[]
0.3,-0.9,1.4,0.1,-0.20619388441,1,"[5.17,6.18,8.94,9.02,9.23]"
0.3,0.9,1.4,0.1,-0.168566177085,0,[]
-0.3,-0.9,1.5,0.1,-0.223627875572,1,"[4.89,6.10,7.95,8.00,8.82,8.89,9.05]"
-0.3,0.9,1.5,0.1,-0.177448552508,0,[]
0.3,-0.9,1.5,0.1,-0.197973405081,1,"[5.29,6.22,8.99,9.07,9.36]"
0.3,0.9,1.5,0.1,-0.164013502133,0,[]
-0.3,-0.9,1.0,0.1,-0.289498681733,1,"[4.64,5.61,7.68,8.29,8.32,8.59]"
-0.3,0.9,1.0,0.1,-0.20389085609,0,[]
0.3,-0.9,1.0,0.1,-0.248771775004,1,"[4.59,5.98,7.68,8.33,8.61,8.69,8.78,8.92]"
