t,r0,r1,r2
3.04,0.208571779850241,0.211955442757502,0.21279464023747
3.05,0.209021468700999,0.212419572684518,0.213258463145235
3.06,0.20947290441065,0.212885633571085,0.213723524828664
3.07,0.20992576559696,0.213353293232012,0.214189509567483
3.08,0.210379730152267,0.213822218283562,0.21465610213554
3.09,0.210834475550914,0.214292074407815,0.215122988084631
3.1,0.211289679140858,0.214762526627385,0.215589854007424
3.11,0.21174501843241,0.21523323958204,0.216056387789822
3.12,0.212200171369798,0.215703877797725,0.216522278831844
3.13,0.212654816592966,0.216174105982171,0.216987218245182
3.14,0.213108633709288,0.216643589310956,0.217450899057011
3.15,0.213561303557823,0.217111993728965,0.217913016388742
3.16,0.214012508466535,0.217578986270505,0.218373267645651
3.17,0.214461932529215,0.218044235372027,0.218831352693664
3.18,0.214909261888481,0.218507411217499,0.219286974041974
3.19,0.215354185002768,0.218968186070961,0.219739837031811
3.2,0.215796392934176,0.219426234630316,0.220189650032729
3.21,0.216235579653248,0.219881234394285,0.220636124652184
3.22,0.216671442335878,0.220332866030357,0.221078975934728
3.23,0.217103681676273,0.220780813739537,0.22151792259017
3.24,0.217532002203902,0.221224765651494,0.221952687237999
3.25,0.217956112606513,0.221664414204679,0.222382996650751
3.26,0.218375726060684,0.222099456538802,0.222808581985391
3.27,0.218790560567705,0.22252959489014,0.223229179070502
3.28,0.219200339298129,0.222954536995425,0.22364452866325
3.29,0.219604790921527,0.223373996487932,0.224054376719345
3.3,0.220003649966681,0.223787693303571,0.224458474678394
3.31,0.22039665717265,0.224195354092501,0.224856579756827
3.32,0.220783559825979,0.224596712646978,0.225248455207455
3.33,0.221164112121994,0.224991510283812,0.225633870630532
3.34,0.221538075516716,0.225379496296733,0.226012602255054
3.35,0.221905219077672,0.225760428355711,0.226384433204038
3.36,0.222265319831893,0.226134072940101,0.226749153822098
3.37,0.222618163122412,0.22650020576135,0.227106561923436
3.38,0.222963542944735,0.226858612176789,0.227456463106871
3.39,0.223301262307662,0.227209087620126,0.227798671005783
3.4,0.223631133557085,0.227551437990991,0.228133007598332
3.41,0.223952978714112,0.227885480096494,0.228459303470914
3.42,0.224266629810143,0.228211041997973,0.228777398094038
3.43,0.224571929191906,0.228527963400282,0.229087140096848
3.44,0.224868729835559,0.228836096030582,0.229388387518508
3.45,0.225156895630474,0.229135303922717,0.229681008078746
3.46,0.22543630165658,0.229425463749656,0.229964879410619
3.47,0.225706834447086,0.229706465077575,0.23023988930499
3.48,0.225968392213031,0.229978210604522,0.230505935913019
3.49,0.226220885063064,0.230240616358937,0.230762927967533
3.5,0.22646423517594,0.230493611844546,0.231010784935866
3.51,0.226698376964941,0.230737140164545,0.231249437210907
3.52,0.226923257196359,0.230971158079239,0.231478826216803
3.53,0.227138835078131,0.231195636036343,0.231698904515527
3.54,0.227345082321543,0.231410558139974,0.231909635903363
3.55,0.227541983151771,0.231615922095268,0.232110995436145
3.56,0.227729534303709,0.231811739063732,0.232302969439887
3.57,0.227907744943284,0.231998033537288,0.232485555517561
3.58,0.228076636595502,0.232174843089588,0.232496736762625
3.59,0.228236242994432,0.231655776376159,0.232342218147807
3.6,0.228386609925547,0.230827385596104,0.232500221698655
3.61,0.228527795019971,0.230011461028917,0.232648928924088
3.62,0.228659867500052,0.229207896552592,0.232788426848118
3.63,0.228416583405006,0.228782907904624,0.232511568917162
3.64,0.227637410294301,0.228897007801599,0.231731545799336
3.65,0.226870263525303,0.229002269415944,0.230964185321375
3.66,0.226115027081908,0.22909880527565,0.230209372679438
3.67,0.225371582734605,0.229186737818806,0.229466989647603
3.68,0.224639810117616,0.228734270301688,0.228736914804202
3.69,0.223919586820822,0.228006084210367,0.22801902379022
3.7,0.223210788473424,0.22728918200256,0.227313189600844
3.71,0.222513288808422,0.226583472180356,0.226619282913537
3.72,0.221826959746546,0.225888861922827,0.225937172490296
3.73,0.22115167143986,0.225205256707891,0.22526672557507
3.74,0.22048729233957,0.224532559897399,0.224607808321731
3.75,0.219833689255142,0.223870672313029,0.223960286220715
3.76,0.219190727389385,0.223219491859822,0.223324024453234
3.77,0.218558270382777,0.222578913291952,0.2226988880539
3.78,0.217936180343607,0.221948828267259,0.222084741825604
3.79,0.217324317872073,0.221329125874898,0.221481449662844
3.8,0.216722542100064,0.220719693878715,0.220888873227988
3.81,0.216130710662362,0.220120420867069,0.220306869648484
3.82,0.215548679736581,0.219531199353487,0.219735288237776
3.83,0.214976304028668,0.218951929528105,0.219173966558114
3.84,0.214413436762194,0.218382522857467,0.218622726610416
3.85,0.213859929654407,0.217822904288014,0.218081372362645
3.86,0.21331563290167,0.217273011914993,0.217549689834834
3.87,0.212780395135548,0.216732793558693,0.217027450187799
3.88,0.21225406339231,0.216202201022891,0.216514415211623
3.89,0.211736483057254,0.215681183382574,0.216010343620972
3.9,0.211227497815513,0.215169681108336,0.215514996611775
3.91,0.210726949589463,0.214667621937092,0.215028141590915
3.92,0.210234678479039,0.214174918700441,0.214549553945913
3.93,0.209750522682783,0.213691468715386,0.214079017254391
3.94,0.209274318430163,0.213217154147428,0.213616322497273
3.95,0.208805899900666,0.212751842830204,0.213161266826068
3.96,0.208345099143843,0.212295389183995,0.212713652214057
3.97,0.207891745997129,0.211847635053483,0.212273284262844
3.98,0.207445668003269,0.211408410390552,0.211839971093622
3.99,0.207006690329984,0.210977533754015,0.211413522533829
4.0,0.206574635687909,0.210554812722419,0.210993749402518
4.01,0.206149324248809,0.210140044144083,0.210580462972326
4.02,0.205730573578538,0.209733014359767,0.210173474559516
4.03,0.205318198565802,0.209333499430237,0.209772595176067
4.04,0.204912011358128,0.208941265304692,0.209377635275616
4.05,0.204511821313829,0.208556068061335,0.208988404540957
4.06,0.204117434958168,0.208177654184418,0.208604711721018
4.07,0.203728655937599,0.207805760885018,0.208226364504559
4.08,0.203345285010844,0.207440116474061,0.20785316942844
4.09,0.202967120035728,0.2070804408222,0.207484931811055
4.1,0.202593955970882,0.206726445853885,0.207121455742637
4.11,0.202225584896351,0.206377836123194,0.206762544076373
4.12,0.20186179604945,0.206034309392788,0.206407998490766
4.13,0.201502375873802,0.205695557306508,0.206057619576135
4.14,0.201147108087972,0.205361266011708,0.205711206973236
