m1,Delta_1,e
0.3,0.7,-0.4439564638831525
0.3,0.8,-0.4424190193037674
0.3,0.9,-0.4405678064246128
0.3,0.0,-0.4414937044636817
0.4,-0.1,-0.4423057036414144
0.4,-0.2,-0.44013132761979684
0.4,-0.3,-0.4370568871322211
0.4,-0.4,-0.43286780464006
0.4,-0.5,-0.4271944740921554
0.4,-0.6,-0.4193303770857675
0.4,-0.7,-0.4077500496633995
0.4,-0.8,-0.3883900367005975
0.4,-0.9,-0.355935359102766
0.4,0.1,-0.44446724929666015
0.4,0.2,-0.4446312429751914
0.4,0.3,-0.44427712835635635
0.4,0.4,-0.4434658378914249
0.4,0.5,-0.44225449962577984
0.4,0.6,-0.4406973114362223
0.4,0.7,-0.4388456449595658
0.4,0.8,-0.43674778696080657
0.4,0.9,-0.4344485679204002
0.4,0.0,-0.44371809586399225
0.5,-0.1,-0.44297615218754627
0.5,-0.2,-0.44222094550022634
0.5,-0.3,-0.4407529220839705
0.5,-0.4,-0.43842020726624314
0.5,-0.5,-0.43498014472472446
0.5,-0.6,-0.4299939844733301
0.5,-0.7,-0.42255473449349024
0.5,-0.8,-0.4104437211740141
0.5,-0.9,-0.3854742420472481
0.5,0.1,-0.44275179282737087
0.5,0.2,-0.4419254178011346
0.5,0.3,-0.4407081828311027
0.5,0.4,-0.4391564031053996
0.5,0.5,-0.4373218321472969
0.5,0.6,-0.4352520391409099
0.5,0.7,-0.43299048493501874
0.5,0.8,-0.4305765054645375
0.5,0.9,-0.4280453107118164
0.5,0.0,-0.4431253706462865
0.6,-0.1,-0.4413279706966471
0.6,-0.2,-0.44168462832130473
0.6,-0.3,-0.4414995151780755
0.6,-0.4,-0.4406629783903402
0.6,-0.5,-0.43901560300852804
0.6,-0.6,-0.4362941672768762
0.6,-0.7,-0.4319974034982883
0.6,-0.8,-0.4250015383468196
0.6,-0.9,-0.4121637209906666
0.6,0.1,-0.43930971782512007
0.6,0.2,-0.4377769419575486
0.6,0.3,-0.43596804333912065
0.6,0.4,-0.4339306492976713
0.6,0.5,-0.4317075684343186
0.6,0.6,-0.42933711468986097
0.6,0.7,-0.4268533266343772
0.6,0.8,-0.42428617127433893
0.6,0.9,-0.421661769926205
0.6,0.0,-0.4405133119157214
0.7,-0.1,-0.43804023396042785
0.7,-0.2,-0.43921572007767795
0.7,-0.3,-0.43999610147453627
0.7,-0.4,-0.44030005296479524
0.7,-0.5,-0.4400189214793738
0.7,-0.6,-0.43899070443160926
0.7,-0.7,-0.43693806152708753
0.7,-0.8,-0.43330309132743283
0.7,-0.9,-0.42672399461493093
0.7,0.1,-0.4347570714047453
0.7,0.2,-0.4327538273169592
0.7,0.3,-0.43056852161328263
