m1,Delta_1,e
0.5,0.1,-0.1281904060821891
0.5,0.2,-0.11900352329172208
0.5,0.3,-0.10991516515215805
0.5,0.4,-0.10096596825693836
0.5,0.5,-0.09219285017894636
0.5,0.6,-0.08362789306190282
0.5,0.7,-0.07529775503344384
0.5,0.8,-0.06722350350720116
0.5,0.9,-0.05942076856061559
0.5,0.0,-0.1374332137844823
0.6,-0.1,-0.12432834103641288
0.6,-0.2,-0.13349030125434658
0.6,-0.3,-0.14271717277947574
0.6,-0.4,-0.15198803449503248
0.6,-0.5,-0.1612987472326715
0.6,-0.6,-0.1706762633870939
0.6,-0.7,-0.1802057382146893
0.6,-0.8,-0.1900897180435284
0.6,-0.9,-0.20081171127417483
0.6,0.1,-0.10631970079236587
0.6,0.2,-0.09753788225128798
0.6,0.3,-0.08894514534110404
0.6,0.4,-0.08056776835342072
0.6,0.5,-0.07242762960352951
0.6,0.6,-0.0645419495252691
0.6,0.7,-0.05692335563504945
0.6,0.8,-0.049580167291099764
0.6,0.9,-0.04251681768907762
0.6,0.0,-0.11526063183428527
0.7,-0.1,-0.10328236455936014
0.7,-0.2,-0.11210868306715462
0.7,-0.3,-0.12109014334483184
0.7,-0.4,-0.13020653975382723
0.7,-0.5,-0.13944633692201955
0.7,-0.6,-0.1488164948090858
0.7,-0.7,-0.158360941911575
0.7,-0.8,-0.1681993749689474
0.7,-0.9,-0.17862345419305517
0.7,0.1,-0.08618798107174476
0.7,0.2,-0.07796378434848208
0.7,0.3,-0.06997947359632867
0.7,0.4,-0.06224894000189097
0.7,0.5,-0.05478226470981998
0.7,0.6,-0.047585876960193875
0.7,0.7,-0.04066286729225503
0.7,0.8,-0.0340133857290601
0.7,0.9,-0.02763507482039734
0.7,0.0,-0.0946344560710496
0.8,-0.1,-0.08381837294990052
0.8,-0.2,-0.09214772165926413
0.8,-0.3,-0.10069228146746566
0.8,-0.4,-0.10943713958111533
0.8,-0.5,-0.11837075321788969
0.8,-0.6,-0.12749092588057684
0.8,-0.7,-0.13681605312767983
0.8,-0.8,-0.14640794701802393
0.8,-0.9,-0.1564241916170196
0.8,0.1,-0.06786357451514888
0.8,0.2,-0.06026207448192171
0.8,0.3,-0.05292241751319904
0.8,0.4,-0.04584928826912175
0.8,0.5,-0.0390445459910421
0.8,0.6,-0.032507516997291055
0.8,0.7,-0.02623534202195109
0.8,0.8,-0.02022333871543352
0.8,0.9,-0.01446535372543012
0.8,0.0,-0.07571922949669674
0.9,-0.1,-0.06601704841611163
0.9,-0.2,-0.07376688463910927
0.9,-0.3,-0.08176553024293415
0.9,-0.4,-0.09000470085537254
0.9,-0.5,-0.09847669435520179
0.9,-0.6,-0.10717770304166438
0.9,-0.7,-0.11611415440311151
0.9,-0.8,-0.125315339086027
0.9,-0.9,-0.13486074111193266
0.9,0.1,-0.05129043099846601
0.9,0.2,-0.04432174131707063
0.9,0.3,-0.03761772236189857
0.9,0.4,-0.031176870961359016
0.9,0.5,-0.024995808984125734
0.9,0.6,-0.01906957171470556
0.9,0.7,-0.013391902037548255
0.9,0.8,-0.00795553084729555
0.9,0.9,-0.002752432629310275
